ID,Requirement,PRD acceptance evidence,Class,Architecture domain,Components,APIs/events,Data entities,Controls,Test architecture,Metrics,Architecture evidence
FR-11,"Configure supported languages, default language and language-specific voices.",A production language cannot be activated without required knowledge and QA approval.,Core,Agent configuration,agents; config; admin-web,agent-versions; prompts; tools; transfers,PromptVersion; ToolVersion; TransferPolicy; LanguageConfiguration,versioning; release compiler; separation of duties,configuration validation + release tests,configuration failures; rollback time,release manifest + approval history
FR-12,"Configure supported model, turn-taking, interruption, timeout and conversation-flow settings exposed by ElevenLabs.",Unsupported settings are rejected rather than silently ignored.,Core,Agent configuration,agents; config; admin-web,agent-versions; prompts; tools; transfers,PromptVersion; ToolVersion; TransferPolicy; LanguageConfiguration,versioning; release compiler; separation of duties,configuration validation + release tests,configuration failures; rollback time,release manifest + approval history
FR-13,Create and manage typed webhook tools used by the ElevenLabs agent.,"Each tool has an allowlisted URL, method, schema, authentication method, purpose and owner.",Core,Agent configuration,agents; config; admin-web,agent-versions; prompts; tools; transfers,PromptVersion; ToolVersion; TransferPolicy; LanguageConfiguration,versioning; release compiler; separation of duties,configuration validation + release tests,configuration failures; rollback time,release manifest + approval history
FR-14,"Configure human transfer routes, queues, operating hours and fallback behavior.",A test verifies each active route and callback fallback before release.,Core,Agent configuration,agents; config; admin-web,agent-versions; prompts; tools; transfers,PromptVersion; ToolVersion; TransferPolicy; LanguageConfiguration,versioning; release compiler; separation of duties,configuration validation + release tests,configuration failures; rollback time,release manifest + approval history
FR-15,Configure dynamic variables and inbound-call personalization mappings.,Only approved non-sensitive variables are returned before verification.,Core,Agent configuration,agents; config; admin-web,agent-versions; prompts; tools; transfers,PromptVersion; ToolVersion; TransferPolicy; LanguageConfiguration,versioning; release compiler; separation of duties,configuration validation + release tests,configuration failures; rollback time,release manifest + approval history
FR-16,Require review and approval for production agent changes.,"The change record includes author, approver, reason, diff, tests and activation evidence.",Core,Agent configuration,agents; config; admin-web,agent-versions; prompts; tools; transfers,PromptVersion; ToolVersion; TransferPolicy; LanguageConfiguration,versioning; release compiler; separation of duties,configuration validation + release tests,configuration failures; rollback time,release manifest + approval history
FR-17,Create knowledge assets from text authored in the app.,"The content is versioned, owned and reviewable before synchronization.",Core,Agent configuration,agents; config; admin-web,agent-versions; prompts; tools; transfers,PromptVersion; ToolVersion; TransferPolicy; LanguageConfiguration,versioning; release compiler; separation of duties,configuration validation + release tests,configuration failures; rollback time,release manifest + approval history
FR-18,Upload supported documents and register approved URLs as knowledge sources.,"File type, size, malware/sanitization and source checks are enforced.",Core,Agent configuration,agents; config; admin-web,agent-versions; prompts; tools; transfers,PromptVersion; ToolVersion; TransferPolicy; LanguageConfiguration,versioning; release compiler; separation of duties,configuration validation + release tests,configuration failures; rollback time,release manifest + approval history
FR-19,"Store knowledge metadata including category, park, language, owner, risk, effective date and expiry.",Retrieval and assignment can be filtered by the metadata.,Core,Knowledge management,knowledge; worker; object storage,knowledge; knowledge-releases,KnowledgeAsset; KnowledgeVersion; KnowledgeApproval; KnowledgeRelease,risk class; effective dates; two-person approval; checksum,ingestion + conflict + publication + regression,stale/conflict/no-answer rate,knowledge release manifest + sync proof
FR-20,Maintain immutable knowledge versions and human-readable diffs.,An editor cannot overwrite the published historical version.,Core,Knowledge management,knowledge; worker; object storage,knowledge; knowledge-releases,KnowledgeAsset; KnowledgeVersion; KnowledgeApproval; KnowledgeRelease,risk class; effective dates; two-person approval; checksum,ingestion + conflict + publication + regression,stale/conflict/no-answer rate,knowledge release manifest + sync proof
FR-21,"Support draft, review, approved, published, superseded, withdrawn and archived states.",State transitions follow permission and approval rules.,Core,Knowledge management,knowledge; worker; object storage,knowledge; knowledge-releases,KnowledgeAsset; KnowledgeVersion; KnowledgeApproval; KnowledgeRelease,risk class; effective dates; two-person approval; checksum,ingestion + conflict + publication + regression,stale/conflict/no-answer rate,knowledge release manifest + sync proof
FR-22,"Require enhanced approval for safety, insurance, legal, pricing and other high-risk content.",Configured categories require two-person approval before publication.,Core,Knowledge management,knowledge; worker; object storage,knowledge; knowledge-releases,KnowledgeAsset; KnowledgeVersion; KnowledgeApproval; KnowledgeRelease,risk class; effective dates; two-person approval; checksum,ingestion + conflict + publication + regression,stale/conflict/no-answer rate,knowledge release manifest + sync proof
FR-23,Create or update the approved runtime copy in ElevenLabs through the knowledge-base API.,The provider response and checksum are stored; failed sync never marks content published.,Core,Knowledge management,knowledge; worker; object storage,knowledge; knowledge-releases,KnowledgeAsset; KnowledgeVersion; KnowledgeApproval; KnowledgeRelease,risk class; effective dates; two-person approval; checksum,ingestion + conflict + publication + regression,stale/conflict/no-answer rate,knowledge release manifest + sync proof
FR-24,"Assign approved knowledge to the correct agent, language, park or version.",The effective agent configuration references only approved and synchronized assets.,Core,Knowledge management,knowledge; worker; object storage,knowledge; knowledge-releases,KnowledgeAsset; KnowledgeVersion; KnowledgeApproval; KnowledgeRelease,risk class; effective dates; two-person approval; checksum,ingestion + conflict + publication + regression,stale/conflict/no-answer rate,knowledge release manifest + sync proof
FR-25,Withdraw or roll back knowledge from the app.,Runtime assignment is updated while local history and audit evidence remain intact.,Core,Knowledge management,knowledge; worker; object storage,knowledge; knowledge-releases,KnowledgeAsset; KnowledgeVersion; KnowledgeApproval; KnowledgeRelease,risk class; effective dates; two-person approval; checksum,ingestion + conflict + publication + regression,stale/conflict/no-answer rate,knowledge release manifest + sync proof
FR-26,"Show per-document synchronization status, last attempt, last success and provider error.",Operators can retry safely without creating duplicates.,Core,Knowledge management,knowledge; worker; object storage,knowledge; knowledge-releases,KnowledgeAsset; KnowledgeVersion; KnowledgeApproval; KnowledgeRelease,risk class; effective dates; two-person approval; checksum,ingestion + conflict + publication + regression,stale/conflict/no-answer rate,knowledge release manifest + sync proof
FR-27,"Detect stale, expired, conflicting or orphaned knowledge.",Warnings appear before publication and in readiness checks.,Core,Knowledge management,knowledge; worker; object storage,knowledge; knowledge-releases,KnowledgeAsset; KnowledgeVersion; KnowledgeApproval; KnowledgeRelease,risk class; effective dates; two-person approval; checksum,ingestion + conflict + publication + regression,stale/conflict/no-answer rate,knowledge release manifest + sync proof
FR-28,Link regression questions and expected answers to knowledge versions.,Publishing a required content change triggers its linked tests.,Core,Knowledge management,knowledge; worker; object storage,knowledge; knowledge-releases,KnowledgeAsset; KnowledgeVersion; KnowledgeApproval; KnowledgeRelease,risk class; effective dates; two-person approval; checksum,ingestion + conflict + publication + regression,stale/conflict/no-answer rate,knowledge release manifest + sync proof
FR-29,Treat Quantum Parks as the authoritative knowledge source and provider edits as drift.,Remote changes never silently overwrite the approved local version.,Core,Knowledge management,knowledge; worker; object storage,knowledge; knowledge-releases,KnowledgeAsset; KnowledgeVersion; KnowledgeApproval; KnowledgeRelease,risk class; effective dates; two-person approval; checksum,ingestion + conflict + publication + regression,stale/conflict/no-answer rate,knowledge release manifest + sync proof
FR-30,Retrieve and search the permitted ElevenLabs voice catalogue.,"Pagination, search and available metadata are presented in the app.",Core,Knowledge management,knowledge; worker; object storage,knowledge; knowledge-releases,KnowledgeAsset; KnowledgeVersion; KnowledgeApproval; KnowledgeRelease,risk class; effective dates; two-person approval; checksum,ingestion + conflict + publication + regression,stale/conflict/no-answer rate,knowledge release manifest + sync proof
FR-31,Play provider voice previews and compare candidate voices.,Preview access is proxied securely without exposing provider credentials.,Core,Knowledge management,knowledge; worker; object storage,knowledge; knowledge-releases,KnowledgeAsset; KnowledgeVersion; KnowledgeApproval; KnowledgeRelease,risk class; effective dates; two-person approval; checksum,ingestion + conflict + publication + regression,stale/conflict/no-answer rate,knowledge release manifest + sync proof
FR-32,"Assign approved voices by agent, language and environment.",An active language always resolves to an approved available voice or explicit fallback.,Core,Voice management,voices; elevenlabs; admin-web,voices; custom-voices,VoiceCatalogueItem; VoiceAssignment; VoiceConsentEvidence,availability; consent; approval; fallback,voice search/preview/assignment + language QA,voice availability; approval status,voice assignment and consent record
FR-33,Configure supported voice settings exposed by the provider.,Values are validated against current provider capabilities.,Core,Voice management,voices; elevenlabs; admin-web,voices; custom-voices,VoiceCatalogueItem; VoiceAssignment; VoiceConsentEvidence,availability; consent; approval; fallback,voice search/preview/assignment + language QA,voice availability; approval status,voice assignment and consent record
FR-34,Support a governed custom or cloned voice workflow.,"Speaker consent, permission, source files, approval and provider status are retained.",Activation-gated,Voice management,voices; elevenlabs; admin-web,voices; custom-voices,VoiceCatalogueItem; VoiceAssignment; VoiceConsentEvidence,availability; consent; approval; fallback,voice search/preview/assignment + language QA,voice availability; approval status,voice assignment and consent record
FR-35,"Detect unavailable, deleted or permission-changed voices.",The affected agent is flagged and cannot be promoted without an approved fallback.,Core,Voice management,voices; elevenlabs; admin-web,voices; custom-voices,VoiceCatalogueItem; VoiceAssignment; VoiceConsentEvidence,availability; consent; approval; fallback,voice search/preview/assignment + language QA,voice availability; approval status,voice assignment and consent record
FR-36,"Create next-reply, tool-call and multi-turn simulation tests from the Quantum Parks application.",Tests are stored locally with provider mappings and ownership.,Core,Voice management,voices; elevenlabs; admin-web,voices; custom-voices,VoiceCatalogueItem; VoiceAssignment; VoiceConsentEvidence,availability; consent; approval; fallback,voice search/preview/assignment + language QA,voice availability; approval status,voice assignment and consent record
FR-37,"Define expected facts, tone, sources, tool calls, parameters, transfer behavior and prohibited behavior.",Pass criteria are machine-readable and reviewable.,Core,Voice management,voices; elevenlabs; admin-web,voices; custom-voices,VoiceCatalogueItem; VoiceAssignment; VoiceConsentEvidence,availability; consent; approval; fallback,voice search/preview/assignment + language QA,voice availability; approval status,voice assignment and consent record
FR-38,"Run selected or full test suites against an agent, branch or configuration override.",The test invocation and provider run IDs are stored.,Core,Voice management,voices; elevenlabs; admin-web,voices; custom-voices,VoiceCatalogueItem; VoiceAssignment; VoiceConsentEvidence,availability; consent; approval; fallback,voice search/preview/assignment + language QA,voice availability; approval status,voice assignment and consent record
FR-39,Support repeated probabilistic runs and pass-rate reporting.,Users can compare reliability across versions and repeated executions.,Core,Voice management,voices; elevenlabs; admin-web,voices; custom-voices,VoiceCatalogueItem; VoiceAssignment; VoiceConsentEvidence,availability; consent; approval; fallback,voice search/preview/assignment + language QA,voice availability; approval status,voice assignment and consent record
FR-40,Evaluate provider results against Quantum Parks policy and factual criteria.,A provider test pass cannot override an internal safety or business-rule failure.,Core,Agent Test Studio,testing; agents; worker; admin-web,test-suites; test-runs,TestSuite; TestCase; TestRun; TestAssertionResult,critical gates; repeated runs; human review,provider tests + internal evaluators + E2E,pass rate; critical failure; flakiness,test run evidence + release gate
FR-41,Compare test results between agent or knowledge versions.,"The UI highlights regressions, improvements and changed failure groups.",Core,Agent Test Studio,testing; agents; worker; admin-web,test-suites; test-runs,TestSuite; TestCase; TestRun; TestAssertionResult,critical gates; repeated runs; human review,provider tests + internal evaluators + E2E,pass rate; critical failure; flakiness,test run evidence + release gate
FR-42,Block production publication when required tests or thresholds fail.,The release gate is server-enforced and cannot be bypassed from the UI.,Core,Agent Test Studio,testing; agents; worker; admin-web,test-suites; test-runs,TestSuite; TestCase; TestRun; TestAssertionResult,critical gates; repeated runs; human review,provider tests + internal evaluators + E2E,pass rate; critical failure; flakiness,test run evidence + release gate
FR-43,Retain test evidence with the released version.,A reviewer can reproduce which tests supported the approval.,Core,Agent Test Studio,testing; agents; worker; admin-web,test-suites; test-runs,TestSuite; TestCase; TestRun; TestAssertionResult,critical gates; repeated runs; human review,provider tests + internal evaluators + E2E,pass rate; critical failure; flakiness,test run evidence + release gate
FR-44,Provide an inbound-call personalization endpoint for ElevenLabs.,The endpoint validates the request and returns approved initiation data within the configured timeout.,Core,Agent Test Studio,testing; agents; worker; admin-web,test-suites; test-runs,TestSuite; TestCase; TestRun; TestAssertionResult,critical gates; repeated runs; human review,provider tests + internal evaluators + E2E,pass rate; critical failure; flakiness,test run evidence + release gate
FR-45,"Resolve caller-ID states as unique match, no match, ambiguous, unauthorized or unavailable.",Ambiguous or unauthorized states disclose no personal context.,Core,Agent Test Studio,testing; agents; worker; admin-web,test-suites; test-runs,TestSuite; TestCase; TestRun; TestAssertionResult,critical gates; repeated runs; human review,provider tests + internal evaluators + E2E,pass rate; critical failure; flakiness,test run evidence + release gate
FR-46,"Return minimum approved dynamic variables such as language, likely park and non-sensitive customer status.",Sensitive booking or support data is not returned before verification.,Core,Agent Test Studio,testing; agents; worker; admin-web,test-suites; test-runs,TestSuite; TestCase; TestRun; TestAssertionResult,critical gates; repeated runs; human review,provider tests + internal evaluators + E2E,pass rate; critical failure; flakiness,test run evidence + release gate
FR-47,"Expose typed tool APIs for authoritative park, customer, booking, support, link, task and callback functions.","Every tool is authenticated, schema-validated, purpose-limited and audited.",Core,Agent Test Studio,testing; agents; worker; admin-web,test-suites; test-runs,TestSuite; TestCase; TestRun; TestAssertionResult,critical gates; repeated runs; human review,provider tests + internal evaluators + E2E,pass rate; critical failure; flakiness,test run evidence + release gate
FR-48,Enforce identity-verification requirements by intent and data sensitivity.,A tool returns an explicit verification-required result instead of data when policy is not met.,Core,Agent Test Studio,testing; agents; worker; admin-web,test-suites; test-runs,TestSuite; TestCase; TestRun; TestAssertionResult,critical gates; repeated runs; human review,provider tests + internal evaluators + E2E,pass rate; critical failure; flakiness,test run evidence + release gate
FR-49,"Provide read-only customer, upcoming-booking and recent-support context where approved.",The response is minimized and captured as an immutable call-time snapshot.,Core,Live personalization and tools,api; integrations; auth; agents,personalization; elevenlabs/tools,VerificationSession; ContextSnapshot; ToolDefinition; Handoff,typed schema; verification; minimum data; no false completion,tool contract/security/journey tests,tool latency/failure; transfer/callback,audit + tool result + journey trace
FR-50,Provide read-only availability with a no-hold warning.,The agent must state that capacity is not reserved until approved checkout completes.,Core,Live personalization and tools,api; integrations; auth; agents,personalization; elevenlabs/tools,VerificationSession; ContextSnapshot; ToolDefinition; Handoff,typed schema; verification; minimum data; no false completion,tool contract/security/journey tests,tool latency/failure; transfer/callback,audit + tool result + journey trace
FR-51,"Create approved registration links, booking links, staff tasks and callback requests.","Each result has idempotency, lifecycle status and a precise caller-facing message.",Core,Live personalization and tools,api; integrations; auth; agents,personalization; elevenlabs/tools,VerificationSession; ContextSnapshot; ToolDefinition; Handoff,typed schema; verification; minimum data; no false completion,tool contract/security/journey tests,tool latency/failure; transfer/callback,audit + tool result + journey trace
FR-52,Create and record warm-transfer context.,"The human operator receives language, park, intent, verification and concise factual context.",Core,Live personalization and tools,api; integrations; auth; agents,personalization; elevenlabs/tools,VerificationSession; ContextSnapshot; ToolDefinition; Handoff,typed schema; verification; minimum data; no false completion,tool contract/security/journey tests,tool latency/failure; transfer/callback,audit + tool result + journey trace
FR-53,Prohibit payment-card capture and capacity/payment-affecting booking actions by default.,Tools reject prohibited actions and return the approved secure next step.,Core,Live personalization and tools,api; integrations; auth; agents,personalization; elevenlabs/tools,VerificationSession; ContextSnapshot; ToolDefinition; Handoff,typed schema; verification; minimum data; no false completion,tool contract/security/journey tests,tool latency/failure; transfer/callback,audit + tool result + journey trace
FR-54,Receive ElevenLabs post-call transcription webhooks.,The endpoint supports the current documented payload and tolerates compatible additional fields.,Core,Live personalization and tools,api; integrations; auth; agents,personalization; elevenlabs/tools,VerificationSession; ContextSnapshot; ToolDefinition; Handoff,typed schema; verification; minimum data; no false completion,tool contract/security/journey tests,tool latency/failure; transfer/callback,audit + tool result + journey trace
FR-55,"Verify webhook signatures, timestamp and replay protection, with network allowlisting where approved.","Spoofed, stale or duplicate events are rejected or handled idempotently.",Core,Live personalization and tools,api; integrations; auth; agents,personalization; elevenlabs/tools,VerificationSession; ContextSnapshot; ToolDefinition; Handoff,typed schema; verification; minimum data; no false completion,tool contract/security/journey tests,tool latency/failure; transfer/callback,audit + tool result + journey trace
FR-56,Store the immutable raw provider event before enrichment.,The raw event is access-controlled and linked to the canonical conversation.,Core,Live personalization and tools,api; integrations; auth; agents,personalization; elevenlabs/tools,VerificationSession; ContextSnapshot; ToolDefinition; Handoff,typed schema; verification; minimum data; no false completion,tool contract/security/journey tests,tool latency/failure; transfer/callback,audit + tool result + journey trace
FR-57,Process webhooks idempotently by provider event and conversation identifiers.,Retries and out-of-order delivery do not create duplicate calls or summaries.,Core,Live personalization and tools,api; integrations; auth; agents,personalization; elevenlabs/tools,VerificationSession; ContextSnapshot; ToolDefinition; Handoff,typed schema; verification; minimum data; no false completion,tool contract/security/journey tests,tool latency/failure; transfer/callback,audit + tool result + journey trace
FR-58,Normalize the provider transcript into a canonical turn schema.,"Speaker, sequence, timestamps, tool events, provider IDs and quality fields are retained where available.",Core,Live personalization and tools,api; integrations; auth; agents,personalization; elevenlabs/tools,VerificationSession; ContextSnapshot; ToolDefinition; Handoff,typed schema; verification; minimum data; no false completion,tool contract/security/journey tests,tool latency/failure; transfer/callback,audit + tool result + journey trace
FR-59,Distinguish raw provider transcript from corrected canonical transcript.,Corrections never overwrite the immutable provider version and require reason and attribution.,Core,Live personalization and tools,api; integrations; auth; agents,personalization; elevenlabs/tools,VerificationSession; ContextSnapshot; ToolDefinition; Handoff,typed schema; verification; minimum data; no false completion,tool contract/security/journey tests,tool latency/failure; transfer/callback,audit + tool result + journey trace
FR-60,Apply redaction and data classification before broad operational use.,"Restricted content is masked in standard views, summaries, analytics and exports.",Core,Post-call ingestion and canonical history,conversations; workflows; intelligence; storage,webhooks/elevenlabs/post-call; calls; transcripts,ProviderEvent; CanonicalTranscript; TranscriptSegment; CallSummary,signature; replay; idempotency; redaction; provenance,webhook duplicate/out-of-order + canonical pipeline,webhook lag; artifact completion; redaction,raw checksum + canonical versions + summary evidence
FR-61,Generate a factual Quantum Parks call summary.,"The summary includes purpose, answer/action, unresolved items, handoff and commitments without inventing completion.",Core,Post-call ingestion and canonical history,conversations; workflows; intelligence; storage,webhooks/elevenlabs/post-call; calls; transcripts,ProviderEvent; CanonicalTranscript; TranscriptSegment; CallSummary,signature; replay; idempotency; redaction; provenance,webhook duplicate/out-of-order + canonical pipeline,webhook lag; artifact completion; redaction,raw checksum + canonical versions + summary evidence
FR-62,"Classify primary intent, secondary topics, entities, language, park and outcome.",Taxonomy and model/prompt version are stored with confidence and correction history.,Core,Post-call ingestion and canonical history,conversations; workflows; intelligence; storage,webhooks/elevenlabs/post-call; calls; transcripts,ProviderEvent; CanonicalTranscript; TranscriptSegment; CallSummary,signature; replay; idempotency; redaction; provenance,webhook duplicate/out-of-order + canonical pipeline,webhook lag; artifact completion; redaction,raw checksum + canonical versions + summary evidence
FR-63,"Link calls to customers, bookings and support interactions where permitted and reliable.","The link stores method, confidence, verification and reviewer corrections.",Core,Post-call ingestion and canonical history,conversations; workflows; intelligence; storage,webhooks/elevenlabs/post-call; calls; transcripts,ProviderEvent; CanonicalTranscript; TranscriptSegment; CallSummary,signature; replay; idempotency; redaction; provenance,webhook duplicate/out-of-order + canonical pipeline,webhook lag; artifact completion; redaction,raw checksum + canonical versions + summary evidence
FR-64,"Support conversation reconciliation, replay and provider import for missed events.",Missing completed conversations can be identified and safely ingested once.,Core,Post-call ingestion and canonical history,conversations; workflows; intelligence; storage,webhooks/elevenlabs/post-call; calls; transcripts,ProviderEvent; CanonicalTranscript; TranscriptSegment; CallSummary,signature; replay; idempotency; redaction; provenance,webhook duplicate/out-of-order + canonical pipeline,webhook lag; artifact completion; redaction,raw checksum + canonical versions + summary evidence
FR-65,Provide a searchable call-history dashboard.,"Users can filter by date, park, language, intent, outcome, agent version, customer state and quality.",Core,Post-call ingestion and canonical history,conversations; workflows; intelligence; storage,webhooks/elevenlabs/post-call; calls; transcripts,ProviderEvent; CanonicalTranscript; TranscriptSegment; CallSummary,signature; replay; idempotency; redaction; provenance,webhook duplicate/out-of-order + canonical pipeline,webhook lag; artifact completion; redaction,raw checksum + canonical versions + summary evidence
FR-66,"Provide a call-detail view with transcript, summary, timeline, tools, handoff, messages, sources and audit.",Sensitive elements are masked or hidden by role.,Core,Post-call ingestion and canonical history,conversations; workflows; intelligence; storage,webhooks/elevenlabs/post-call; calls; transcripts,ProviderEvent; CanonicalTranscript; TranscriptSegment; CallSummary,signature; replay; idempotency; redaction; provenance,webhook duplicate/out-of-order + canonical pipeline,webhook lag; artifact completion; redaction,raw checksum + canonical versions + summary evidence
FR-67,"Aggregate call volume, answer outcomes, transfers, callbacks, unresolved calls and processing failures.",Dashboard queries use optimized facts or aggregates rather than full transcript scans.,Core,Post-call ingestion and canonical history,conversations; workflows; intelligence; storage,webhooks/elevenlabs/post-call; calls; transcripts,ProviderEvent; CanonicalTranscript; TranscriptSegment; CallSummary,signature; replay; idempotency; redaction; provenance,webhook duplicate/out-of-order + canonical pipeline,webhook lag; artifact completion; redaction,raw checksum + canonical versions + summary evidence
FR-68,"Identify recurring questions, fastest-growing topics and knowledge gaps.",Each insight links to supporting call counts and representative redacted examples.,Core,Post-call ingestion and canonical history,conversations; workflows; intelligence; storage,webhooks/elevenlabs/post-call; calls; transcripts,ProviderEvent; CanonicalTranscript; TranscriptSegment; CallSummary,signature; replay; idempotency; redaction; provenance,webhook duplicate/out-of-order + canonical pipeline,webhook lag; artifact completion; redaction,raw checksum + canonical versions + summary evidence
FR-69,Identify repeat-contact and cross-channel ping-pong indicators.,The metric distinguishes inferred linkage from verified customer identity.,Core,Post-call ingestion and canonical history,conversations; workflows; intelligence; storage,webhooks/elevenlabs/post-call; calls; transcripts,ProviderEvent; CanonicalTranscript; TranscriptSegment; CallSummary,signature; replay; idempotency; redaction; provenance,webhook duplicate/out-of-order + canonical pipeline,webhook lag; artifact completion; redaction,raw checksum + canonical versions + summary evidence
FR-70,"Report performance by park, language, agent version, knowledge version and call reason.",Filters and comparisons are consistent across dashboard and reports.,Core,Intelligence and reporting,intelligence; worker; admin-web,analytics; reports,CallFactDaily; IntentAggregate; ReportRun; Recommendation,lineage; restricted views; human-reviewed recommendations,aggregate/report/export tests,report health; query budget; trend coverage,report artifact + lineage
FR-71,"Measure digital follow-up and commercial signals such as link delivery, click, registration and attributable conversion where data exists.",Commercial metrics never imply causation without defined attribution logic.,Core,Intelligence and reporting,intelligence; worker; admin-web,analytics; reports,CallFactDaily; IntentAggregate; ReportRun; Recommendation,lineage; restricted views; human-reviewed recommendations,aggregate/report/export tests,report health; query budget; trend coverage,report artifact + lineage
FR-72,Generate weekly operational and monthly strategic reports.,"Reports are scheduled, stored, permissioned and linked to underlying aggregates.",Core,Intelligence and reporting,intelligence; worker; admin-web,analytics; reports,CallFactDaily; IntentAggregate; ReportRun; Recommendation,lineage; restricted views; human-reviewed recommendations,aggregate/report/export tests,report health; query budget; trend coverage,report artifact + lineage
FR-73,Export approved data in controlled CSV/PDF formats.,"Exports are permissioned, masked, watermarked or audited according to policy.",Core,Intelligence and reporting,intelligence; worker; admin-web,analytics; reports,CallFactDaily; IntentAggregate; ReportRun; Recommendation,lineage; restricted views; human-reviewed recommendations,aggregate/report/export tests,report health; query budget; trend coverage,report artifact + lineage
FR-74,"Manage callbacks, staff tasks, owners, priorities, SLAs and completion.",Tasks are deduplicated and linked to the source call and customer context.,Core,Intelligence and reporting,intelligence; worker; admin-web,analytics; reports,CallFactDaily; IntentAggregate; ReportRun; Recommendation,lineage; restricted views; human-reviewed recommendations,aggregate/report/export tests,report health; query budget; trend coverage,report artifact + lineage
FR-75,Send approved post-call WhatsApp/SMS summaries and links.,"Messages state what was answered, what remains unconfirmed and the next step.",Core,Intelligence and reporting,intelligence; worker; admin-web,analytics; reports,CallFactDaily; IntentAggregate; ReportRun; Recommendation,lineage; restricted views; human-reviewed recommendations,aggregate/report/export tests,report health; query budget; trend coverage,report artifact + lineage
